pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-2953-6e410c79-2094-4548-a009-faf82961733d,facing-2953-6e410c79-2094-4548-a009-faf82961733d,copying-2953-6e410c79-2094-4548-a009-faf82961733d,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
2953-6e410c79-2094-4548-a009-faf82961733d,113,visible,265.313,150.385,2.125,123,0.75,0.05,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,114,visible,266.10900000000004,152.355,2.125,158,0.77,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,115,visible,265.631,154.42600000000002,2.125,193,0.77,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,116,visible,263.934,155.705,2.125,233,0.73,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,117,visible,261.81,155.779,2.125,268,0.73,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,118,visible,259.73900000000003,155.30100000000002,2.125,283,0.6599999999999999,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,119,visible,257.668,154.82299999999998,2.125,283,0.61,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,120,visible,255.775,155.78799999999998,2.125,243,0.5700000000000001,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,121,visible,254.618,157.57,2.125,213,0.55,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,122,visible,254.877,159.679,2.125,173,0.49,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,123,visible,256.29900000000004,161.25799999999998,2.125,138,0.42,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,124,visible,258.423,161.184,2.125,88,0.42,0.05,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,125,visible,260.547,161.11,2.125,88,0.41,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,126,visible,262.671,161.036,2.125,88,0.39,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,127,visible,264.795,160.96200000000002,2.125,88,0.48,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,128,visible,266.577,162.119,2.125,123,0.52,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,129,visible,268.35900000000004,163.276,2.125,123,0.5800000000000001,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,130,visible,270.14099999999996,164.433,2.125,123,0.6,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,131,visible,271.923,165.59,2.125,123,0.5700000000000001,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,132,visible,273.705,166.747,2.125,123,0.5700000000000001,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,133,visible,275.487,167.90400000000002,2.125,123,0.5900000000000001,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,134,visible,277.269,169.06099999999998,2.125,123,0.5800000000000001,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,135,visible,279.051,170.218,2.125,123,0.5700000000000001,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,136,visible,280.83299999999997,171.375,2.125,123,0.56,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,137,visible,282.615,172.532,2.125,123,0.54,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,138,visible,284.397,173.68900000000002,2.125,123,0.56,0.06,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
